datetime,Date,Offset,Val
2023-10-13 12:00:00,20231012,36,7.3
2023-10-13 13:00:00,20231012,37,7.1
2023-10-13 14:00:00,20231012,38,6.6
2023-10-13 15:00:00,20231012,39,6.8
2023-10-13 16:00:00,20231012,40,7.8
2023-10-13 17:00:00,20231012,41,11.0
2023-10-13 18:00:00,20231012,42,13.3
2023-10-13 19:00:00,20231012,43,15.1
2023-10-13 20:00:00,20231012,44,16.6
2023-10-13 21:00:00,20231012,45,17.5
2023-10-13 22:00:00,20231012,46,18.0
2023-10-13 23:00:00,20231012,47,17.7
2023-10-14 00:00:00,20231012,48,11.4
2023-10-14 01:00:00,20231012,49,11.1
2023-10-14 02:00:00,20231012,50,10.5
2023-10-14 03:00:00,20231012,51,9.9
2023-10-14 04:00:00,20231012,52,10.2
2023-10-14 05:00:00,20231012,53,10.0
2023-10-14 06:00:00,20231012,54,10.6
2023-10-14 07:00:00,20231012,55,10.1
2023-10-14 08:00:00,20231012,56,9.9
2023-10-14 09:00:00,20231012,57,9.9
2023-10-14 10:00:00,20231012,58,10.5
2023-10-14 11:00:00,20231012,59,10.5
2023-10-14 12:00:00,20231012,60,10.5
