,Date,Time,Val,datetime
679,20211229,700,-6.5,
680,20211229,800,-7.0,
681,20211229,900,-7.3,
682,20211229,1000,-7.7,
683,20211229,1100,-7.5,
684,20211229,1200,-7.7,
685,20211229,1300,-7.8,
686,20211229,1400,-7.3,
687,20211229,1500,-8.1,
688,20211229,1600,-8.0,
689,20211229,1700,-7.4,
690,20211229,1800,-5.5,
691,20211229,1900,-4.6,
692,20211229,2000,-4.6,
693,20211229,2100,-3.9,
694,20211229,2200,-3.8,
695,20211229,2300,-4.2,
696,20211230,0,-4.3,
697,20211230,100,-4.5,
698,20211230,200,-4.6,
699,20211230,300,-5.2,
700,20211230,400,-5.6,
701,20211230,500,-5.9,
702,20211230,600,-6.2,
703,20211230,700,-6.1,
704,20211230,800,-5.4,
705,20211230,900,-5.1,
706,20211230,1000,-4.9,
707,20211230,1100,-4.6,
708,20211230,1200,-4.1,
709,20211230,1300,-4.1,
710,20211230,1400,-4.0,
711,20211230,1500,-4.1,
712,20211230,1600,-4.2,
713,20211230,1700,-4.4,
714,20211230,1800,-3.0,
715,20211230,1900,-1.3,
716,20211230,2000,-0.7,
717,20211230,2100,-0.2,
718,20211230,2200,0.1,
719,20211230,2300,-0.4,
720,20211231,0,-0.8,
721,20211231,100,-2.0,
722,20211231,200,-3.2,
723,20211231,300,-3.8,
724,20211231,400,-4.2,
725,20211231,500,-4.6,
726,20211231,600,-4.6,
727,20211231,700,-4.7,
728,20211231,800,-4.8,
729,20211231,900,-4.4,
730,20211231,1000,-4.6,
731,20211231,1100,-4.5,
732,20211231,1200,-5.1,
733,20211231,1300,-6.0,
734,20211231,1400,-6.6,
735,20211231,1500,-7.2,
736,20211231,1600,-7.1,
737,20211231,1700,-5.9,
738,20211231,1800,-4.4,
739,20211231,1900,-3.5,
740,20211231,2000,-2.4,
741,20211231,2100,-1.8,
742,20211231,2200,-2.1,
743,20211231,2300,-2.6,
744,20220101,0,-2.3,
745,20220101,100,-3.1,
746,20220101,200,-4.3,
747,20220101,300,-4.9,
748,20220101,400,-5.6,
749,20220101,500,-6.3,
750,20220101,600,-6.1,
751,20220101,700,-6.4,
752,20220101,800,-6.1,
753,20220101,900,-5.9,
754,20220101,1000,-5.8,
755,20220101,1100,-5.7,
756,20220101,1200,-5.3,
757,20220101,1300,-5.3,
758,20220101,1400,-5.2,
759,20220101,1500,-5.1,
760,20220101,1600,-4.8,
761,20220101,1700,-4.2,
762,20220101,1800,-3.6,
763,20220101,1900,-2.7,
764,20220101,2000,-1.9,
765,20220101,2100,-1.6,
766,20220101,2200,-0.9,
767,20220101,2300,-0.5,
768,20220102,0,-0.3,
769,20220102,100,-0.2,
770,20220102,200,-0.4,
771,20220102,300,0.1,
772,20220102,400,0.2,
773,20220102,500,1.1,
774,20220102,600,1.6,
775,20220102,700,1.4,
776,20220102,800,1.3,
777,20220102,900,1.3,
778,20220102,1000,1.6,
779,20220102,1100,0.7,
780,20220102,1200,0.6,
781,20220102,1300,0.6,
782,20220102,1400,0.6,
783,20220102,1500,0.9,
784,20220102,1600,1.4,
785,20220102,1700,2.7,
786,20220102,1800,3.1,
787,20220102,1900,3.4,
788,20220102,2000,3.6,
789,20220102,2100,4.3,
790,20220102,2200,4.8,
791,20220102,2300,4.7,
792,20220103,0,4.5,
793,20220103,100,4.1,
794,20220103,200,3.8,
795,20220103,300,4.3,
796,20220103,400,4.4,
797,20220103,500,4.0,
798,20220103,600,3.9,
799,20220103,700,3.7,
800,20220103,800,3.6,
801,20220103,900,3.4,
802,20220103,1000,3.4,
803,20220103,1100,3.1,
804,20220103,1200,3.4,
805,20220103,1300,3.4,
806,20220103,1400,3.2,
807,20220103,1500,3.2,
808,20220103,1600,1.6,
809,20220103,1700,3.0,
810,20220103,1800,3.3,
811,20220103,1900,3.4,
812,20220103,2000,4.1,
813,20220103,2100,3.5,
814,20220103,2200,3.5,
815,20220103,2300,4.1,
816,20220104,0,3.3,
817,20220104,100,2.4,
818,20220104,200,2.2,
819,20220104,300,1.7,
820,20220104,400,1.2,
821,20220104,500,1.3,
822,20220104,600,1.3,
823,20220104,700,0.6,
824,20220104,800,0.7,
825,20220104,900,0.9,
826,20220104,1000,0.9,
827,20220104,1100,0.7,
828,20220104,1200,0.6,
829,20220104,1300,0.8,
830,20220104,1400,0.5,
831,20220104,1500,1.3,
832,20220104,1600,2.0,
833,20220104,1700,1.8,
834,20220104,1800,1.8,
835,20220104,1900,2.0,
836,20220104,2000,2.1,
837,20220104,2100,2.2,
838,20220104,2200,0.9,
839,20220104,2300,0.6,
840,20220105,0,0.4,
841,20220105,100,0.5,
842,20220105,200,0.5,
843,20220105,300,0.4,
844,20220105,400,0.3,
845,20220105,500,0.3,
846,20220105,600,0.3,
847,20220105,700,0.5,
848,20220105,800,0.7,
849,20220105,900,0.4,
850,20220105,1000,0.6,
851,20220105,1100,0.2,
852,20220105,1200,0.3,
853,20220105,1300,-0.7,
854,20220105,1400,-1.3,
855,20220105,1500,-1.8,
856,20220105,1600,-2.1,
857,20220105,1700,-2.6,
858,20220105,1800,-2.5,
859,20220105,1900,-2.1,
860,20220105,2000,-1.5,
861,20220105,2100,-1.6,
862,20220105,2200,-1.6,
863,20220105,2300,-1.9,
864,20220106,0,-2.3,
865,20220106,100,-2.2,
866,20220106,200,-2.4,
867,20220106,300,-2.9,
868,20220106,400,-3.2,
869,20220106,500,-3.6,
870,20220106,600,-3.5,
871,20220106,700,-3.3,
872,20220106,800,-3.0,
873,20220106,900,-2.4,
874,20220106,1000,-1.4,
875,20220106,1100,-0.8,
876,20220106,1200,-1.4,
877,20220106,1300,-1.8,
878,20220106,1400,-1.7,
879,20220106,1500,-1.5,
880,20220106,1600,-1.4,
881,20220106,1700,-1.1,
882,20220106,1800,-0.6,
883,20220106,1900,-0.1,
884,20220106,2000,0.3,
885,20220106,2100,0.6,
886,20220106,2200,1.4,
887,20220106,2300,2.1,
888,20220107,0,2.1,
889,20220107,100,2.7,
890,20220107,200,2.4,
891,20220107,300,4.7,
892,20220107,400,2.3,
893,20220107,500,3.5,
894,20220107,600,3.4,
895,20220107,700,3.7,
896,20220107,800,2.9,
897,20220107,900,3.1,
898,20220107,1000,3.4,
899,20220107,1100,3.8,
900,20220107,1200,3.6,
901,20220107,1300,3.3,
902,20220107,1400,3.2,
903,20220107,1500,3.4,
904,20220107,1600,3.3,
905,20220107,1700,2.2,
906,20220107,1800,1.8,
907,20220107,1900,2.3,
908,20220107,2000,2.2,
909,20220107,2100,2.4,
910,20220107,2200,2.3,
911,20220107,2300,2.7,
912,20220108,0,2.7,
913,20220108,100,2.6,
914,20220108,200,2.2,
915,20220108,300,2.0,
916,20220108,400,2.2,
917,20220108,500,1.5,
918,20220108,600,1.7,
919,20220108,700,1.7,
920,20220108,800,1.7,
921,20220108,900,0.8,
922,20220108,1000,0.7,
923,20220108,1100,0.5,
924,20220108,1200,0.3,
925,20220108,1300,-0.3,
926,20220108,1400,-0.5,
927,20220108,1500,-0.7,
928,20220108,1600,-0.4,
929,20220108,1700,-0.1,
930,20220108,1800,0.8,
931,20220108,1900,0.5,
932,20220108,2000,0.4,
933,20220108,2100,0.6,
934,20220108,2200,0.7,
935,20220108,2300,0.6,
936,20220109,0,0.7,
937,20220109,100,0.8,
938,20220109,200,1.1,
939,20220109,300,1.3,
940,20220109,400,1.7,
941,20220109,500,1.8,
942,20220109,600,1.9,
943,20220109,700,2.0,
944,20220109,800,2.1,
945,20220109,900,2.2,
946,20220109,1000,2.4,
947,20220109,1100,2.4,
948,20220109,1200,2.3,
949,20220109,1300,2.1,
950,20220109,1400,1.9,
951,20220109,1500,2.0,
952,20220109,1600,1.8,
953,20220109,1700,2.0,
954,20220109,1800,3.6,
955,20220109,1900,4.3,
956,20220109,2000,5.3,
957,20220109,2100,6.8,
958,20220109,2200,7.9,
959,20220109,2300,7.7,
960,20220110,0,7.2,
961,20220110,100,5.8,
962,20220110,200,4.4,
963,20220110,300,4.0,
964,20220110,400,3.6,
965,20220110,500,3.3,
966,20220110,600,3.4,
967,20220110,700,3.2,
968,20220110,800,3.3,
969,20220110,900,3.4,
970,20220110,1000,3.3,
971,20220110,1100,2.6,
972,20220110,1200,3.3,
973,20220110,1300,3.1,
974,20220110,1400,2.6,
975,20220110,1500,3.7,
976,20220110,1600,3.5,
977,20220110,1700,3.0,
978,20220110,1800,3.6,
979,20220110,1900,4.3,
980,20220110,2000,4.8,
981,20220110,2100,5.3,
982,20220110,2200,5.2,
983,20220110,2300,5.3,
984,20220111,0,5.6,
985,20220111,100,5.5,
986,20220111,200,5.6,
987,20220111,300,5.6,
988,20220111,400,5.7,
989,20220111,500,6.0,
990,20220111,600,6.7,
991,20220111,700,7.2,
992,20220111,800,6.7,
993,20220111,900,6.8,
994,20220111,1000,6.8,
995,20220111,1100,7.0,
996,20220111,1200,7.7,
997,20220111,1300,8.5,
998,20220111,1400,8.4,
999,20220111,1500,8.6,
1000,20220111,1600,8.7,
1001,20220111,1700,9.2,
1002,20220111,1800,8.7,
1003,20220111,1900,8.3,
1004,20220111,2000,8.6,
